Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
19	atmos	1421955397.714	   964.558	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hus850/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
21	atmos	1421956362.279	     1.101	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/tauu/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
22	atmos	1421956363.386	     1.050	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/tauv/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
23	atmos	1421956364.444	     1.289	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/tauv/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
24	atmos	1421956365.738	     0.790	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/tauu/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
25	atmos	1421956366.535	     0.759	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/vas/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
26	atmos	1421956367.300	     1.361	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/uas/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
27	atmos	1421956368.669	     0.912	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/vas/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
28	atmos	1421956369.587	     0.809	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/uas/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
29	atmos	1421956370.401	     1.259	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfss/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
30	atmos	1421956371.666	     0.668	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfss/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
31	atmos	1421956372.339	     0.835	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfss/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
32	atmos	1421956373.181	     1.368	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfss/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
33	atmos	1421956374.554	     0.859	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfss/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
34	atmos	1421956375.419	     0.761	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfss/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
16	atmos	1421955397.373	  1128.693	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/mrro/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
18	atmos	1421955397.589	  1133.424	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/hus850/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
37	atmos	1421956531.019	     1.063	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/vas/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
38	atmos	1421956532.089	     1.015	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/vas/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
39	atmos	1421956533.111	     0.947	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfss/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
