['./cordex_db_report.py', 'EUR-11', 'ps', 'day', 'esgffiles']
+----+------------+-------------+-----------------------+------------+---------+-------------+
|    | Experiment |  Institute  |     Driving Model     |   Model    | # Files | Volume [GB] |
+----+------------+-------------+-----------------------+------------+---------+-------------+
| 0  | evaluation |    CLMcom   |      ECMWF-ERAINT     | CCLM4-8-17 |    5    |  2820080718 |
| 1  | evaluation |     DMI     |      ECMWF-ERAINT     |  HIRHAM5   |    6    |  2788094972 |
| 2  | evaluation | IPSL-INERIS |      ECMWF-ERAINT     |  WRF331F   |    5    |  2857525486 |
| 3  | evaluation |     KNMI    |      ECMWF-ERAINT     |  RACMO22E  |    8    |  4083739679 |
| 4  | evaluation |     SMHI    |      ECMWF-ERAINT     |    RCA4    |    7    |  2507592477 |
| 5  | historical |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    12   |  7901066860 |
| 6  | historical |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    12   |  7914642986 |
| 7  | historical |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    12   |  7921511764 |
| 8  | historical |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    11   |  6678763341 |
| 9  | historical | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    7    |  4994788756 |
| 10 | historical |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    12   |  6732355032 |
| 11 | historical |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    8    |  2911956163 |
| 12 | historical |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    8    |  2915257302 |
| 13 | historical |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    8    |  2901661677 |
| 14 | historical |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    8    |  2004293740 |
| 15 | historical |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    8    |  2914743923 |
| 16 |   rcp26    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   |  5366259212 |
